,Neighbourhood,Neighbourhood Latitude,Neighbourhood Longitude,Venue Name,Venue ID,Venue Latitude,Venue Longitude,Venue Category
0,"Rouge, Malvern",43.811525000000074,-79.19551746399998,BeaverTails,4c546bef1b46c9b689e291ce,43.823376,-79.184616,Dessert Shop
3,"Rouge, Malvern",43.811525000000074,-79.19551746399998,Peacock Café (Toronto Zoo),4c82860fd8086dcb735c7752,43.82001212937283,-79.18156317091477,Café
4,"Rouge, Malvern",43.811525000000074,-79.19551746399998,Tim Hortons / Esso,4e0b137722713e13018e7117,43.80186301779314,-79.1992957809335,Coffee Shop
5,"Rouge, Malvern",43.811525000000074,-79.19551746399998,Mr Jerk,4ceaa2f0f8653704f906bec4,43.801262219554275,-79.19975818333775,African Restaurant
6,"Rouge, Malvern",43.811525000000074,-79.19551746399998,What a Bakery,4bf01bf43a002d7f50ac85a4,43.798888,-79.196473,Bakery
7,"Highland Creek, Rouge Hill, Port Union",43.78566500000005,-79.15872457299997,"Lamanna's Bakery, Cafe & Fine Foods",4c000fde92a6c928b09443e2,43.7979714045181,-79.14843228726039,Bakery
8,"Highland Creek, Rouge Hill, Port Union",43.78566500000005,-79.15872457299997,Ted's Restaurant,4be6c179d4f7c9b665042720,43.78446796744621,-79.1692004571639,Breakfast Spot
12,"Highland Creek, Rouge Hill, Port Union",43.78566500000005,-79.15872457299997,Eggsmart,519f9fc9498ea72866bcb1fd,43.797979,-79.149207,Breakfast Spot
14,"Highland Creek, Rouge Hill, Port Union",43.78566500000005,-79.15872457299997,Wimpy's Diner,4ba50812f964a52010d338e3,43.79719046240819,-79.14969952971357,Breakfast Spot
17,"Highland Creek, Rouge Hill, Port Union",43.78566500000005,-79.15872457299997,Mr. Beans Coffee Co.,4bd2e4b7caff9521f191d3f0,43.77964590396574,-79.13788497447968,Coffee Shop
18,"Guildwood, Morningside, West Hill",43.76581500000003,-79.17519294699997,Chick-N-Joy,4bc366dab492d13a51b2a860,43.76875171771289,-79.18798174616069,Fried Chicken Joint
